n,Compare,Swap
100,1586,60
200,4240,126
300,7189,205
400,9248,277
500,12649,354
600,14453,405
700,17129,477
800,19549,557
900,22962,639
1000,24402,687
1100,27252,768
1200,29572,880
1300,32373,886
1400,34124,1044
1500,37352,1050
1600,40292,1094
1700,41886,1270
1800,45120,1322
1900,47195,1296
2000,49412,1458
2100,52064,1583
2200,55485,1571
2300,56957,1634
2400,60488,1744
2500,61388,1847
2600,64352,1838
2700,68450,1979
2800,70342,2087
2900,73253,2079
3000,76478,2174
3100,76583,2132
3200,80086,2362
3300,83172,2509
3400,85670,2444
3500,86417,2414
3600,90156,2486
3700,93438,2688
3800,96912,2973
3900,97047,2902
4000,99850,2860
4100,102517,3184
4200,106621,2983
4300,107812,3084
4400,109794,3176
4500,113367,3187
4600,114149,3346
4700,116984,3391
4800,120060,3491
4900,123078,3895
5000,123716,3567
5100,127331,3574
5200,129798,3664
5300,132782,3818
5400,135280,3715
5500,138659,3771
5600,139147,4045
5700,142281,4156
5800,144264,3842
5900,146890,4834
6000,149878,3968
6100,153736,4649
6200,154835,4795
6300,154186,4517
6400,159146,4630
6500,164560,4879
6600,165687,5427
6700,166409,4969
6800,169977,5247
6900,174065,5187
7000,174490,5227
7100,179796,5139
7200,179903,5560
7300,181526,5377
7400,183675,5362
7500,188596,6119
7600,188055,5605
7700,192174,6011
7800,194628,5272
7900,196912,5241
8000,201185,5774
8100,203161,5924
8200,203974,5753
8300,205283,6722
8400,209105,5982
8500,213967,6238
8600,216911,6514
8700,218503,6652
8800,219740,6092
8900,225026,6837
9000,224370,5999
9100,229859,6844
9200,232249,7380
9300,232516,6487
9400,232979,6314
9500,239128,7002
9600,240561,7328
9700,243275,7085
9800,245401,7210
9900,248312,7052
10000,250688,7731
